Gender,Age,Annual Income (k$),Spending Score (1-100)
Female,18,66,22
Male,48,50,2
Male,70,62,27
Male,38,63,19
Male,41,55,76
Female,34,30,28
Male,61,25,1
Female,37,53,50
Male,36,23,45
Female,51,57,43
Female,32,53,65
Male,20,15,82
Male,51,111,43
Female,30,62,57
Female,25,15,43
Male,68,67,63
Male,36,55,12
Male,45,25,66
Male,39,68,57
Female,26,35,25
Female,48,65,100
Male,43,42,15
Female,29,36,58
Female,44,60,25
Female,31,17,65
Female,23,58,100
Female,22,77,70
Female,42,93,47
Female,33,89,74
Female,59,96,34
Female,38,48,62
Female,27,33,52
Female,41,81,18
Male,20,46,94
Female,37,60,82
Female,43,80,28
Male,41,113,76
Female,57,74,19
Male,70,65,62
Female,48,31,51
Female,55,91,93
Female,70,71,58
Male,24,51,10
Female,40,48,76
Female,32,49,38
Female,50,61,37
Female,42,22,50
Female,27,92,35
Male,39,87,96
Female,53,56,70
Male,20,49,20
Female,27,59,31
Female,25,64,16
Male,43,52,75
Male,56,86,48
Female,18,23,24
Male,40,41,90
Male,25,80,63
Male,52,69,54
Male,35,42,53
Male,40,71,15
Male,38,39,64
Female,54,52,39
Male,67,87,72
Female,22,85,66
Male,25,68,48
Female,43,32,46
Female,27,50,93
Female,51,63,15
Male,54,98,35
Female,31,15,79
Female,28,37,88
Female,35,90,46
Female,40,96,32
Male,43,58,32
Female,18,100,13
Female,25,41,100
Male,33,20,46
Male,27,81,62
Male,18,94,62
Male,18,94,88
Male,20,37,39
Male,37,65,41
Male,32,82,71
Male,30,68,3
Female,49,98,88
Male,49,49,95
Male,40,58,56
Male,40,66,25
Female,26,82,72
Male,28,55,45
Male,18,84,53
Male,35,102,55
Female,49,46,33
Female,57,56,59
Male,35,85,12
Male,45,111,1
Female,18,77,59
Male,32,39,77
Female,32,65,36
Female,59,85,35
Female,44,39,66
Male,45,32,49
Male,45,51,35
Female,39,77,58
Female,60,24,50
Male,18,42,17
Female,40,67,47
Female,54,89,54
Female,18,68,36
Female,50,70,74
Male,28,86,62
Female,40,102,43
Male,27,99,53
Male,52,15,40
Male,34,63,44
Female,50,84,45
Female,44,105,4
Female,27,77,50
Male,45,37,58
Female,29,41,100
Male,39,42,61
Male,34,68,33
Female,51,47,7
Female,46,15,22
Female,38,29,37
Female,29,48,37
Female,21,24,44
Male,40,28,39
Male,30,114,44
Female,18,60,39
Female,20,50,50
Male,61,78,26
Female,29,90,17
Male,53,119,44
Female,33,105,61
Female,56,71,21
Female,55,20,35
Female,27,34,46
Female,18,50,45
Male,18,73,69
Female,27,63,74
Female,65,21,55
Female,33,17,81
Female,40,67,40
Male,57,63,71
Male,40,55,34
Male,39,73,57
Female,47,93,66
Female,42,68,51
Male,37,35,25
Female,28,110,7
Male,39,55,64
Male,54,61,43
Female,63,43,44
Female,42,32,88
Male,49,34,25
Female,42,28,69
Male,37,15,31
Male,46,56,45
Female,55,89,22
Female,26,34,30
Female,18,127,60
Male,31,96,83
Male,41,60,61
Male,51,31,58
Female,25,18,100
Female,18,57,64
Male,31,62,26
Female,36,55,6
Female,22,88,59
Female,28,99,13
Male,50,72,24
Female,39,74,58
Female,43,52,77
Female,33,60,42
Female,28,71,19
Female,33,52,46
Female,45,77,43
Female,18,32,53
Female,61,41,19
Female,46,33,28
Male,31,42,76
Male,50,53,69
Male,55,87,80
Male,34,61,2
Female,35,26,27
Male,59,23,75
Female,68,49,65
Female,39,82,60
Male,22,97,40
Male,32,18,34
Female,53,70,51
Female,24,50,38
Male,35,52,63
Female,42,32,51
Female,25,54,25
Female,54,31,66
Male,48,53,82
Female,66,90,84
Female,49,77,67
Female,25,110,67
Male,46,74,20
Female,52,65,32
Female,53,75,45
Female,27,40,65
Female,26,15,34
Male,22,81,42
Male,61,15,64
Male,47,90,53
Female,27,80,58
Female,40,38,30
Female,37,49,41
Male,25,60,38
Female,39,36,50
Female,41,74,39
Male,65,77,35
Male,29,22,53
Female,18,38,100
Male,24,59,65
Female,26,90,4
Male,32,77,59
Female,24,15,36
Female,50,52,25
Female,23,72,68
Female,39,39,52
Female,66,37,100
Female,46,40,47
Female,45,52,44
Male,64,34,81
Female,56,77,50
Male,46,37,22
Female,34,33,27
Male,38,50,41
Female,37,99,67
Female,33,74,83
Female,41,76,70
Female,43,68,64
Female,21,35,78
Female,61,43,66
Female,44,39,26
Female,35,89,44
Female,41,68,36
Male,51,16,82
Female,18,98,25
Male,37,51,26
Female,22,77,54
Male,70,88,100
Male,40,15,69
Male,22,72,77
Male,70,53,21
Female,31,15,67
Female,35,30,21
Male,36,48,69
Male,27,82,9
Male,42,55,41
Male,18,64,1
Female,54,51,27
Male,23,89,13
Female,33,74,67
Female,49,64,52
Female,35,30,38
Male,36,63,53
Male,24,133,28
Male,68,81,58
Female,46,41,48
Female,23,109,100
Female,41,39,92
Male,22,79,74
Male,62,59,57
Male,41,65,61
Female,25,66,82
Female,48,54,57
Female,34,50,59
Male,20,25,35
Male,44,31,32
Female,43,69,47
Male,54,42,1
Male,39,36,49
Male,40,134,43
Female,41,125,72
Male,61,75,81
Female,34,79,100
Male,45,39,65
Male,47,29,54
Female,43,51,35
Male,33,60,23
Female,40,79,73
Male,37,15,49
Female,66,116,61
Female,32,67,50
Female,26,19,51
Male,38,64,55
Male,37,36,61
Female,41,35,74
Male,32,32,18
Male,40,53,65
Male,40,115,16
Female,51,62,68
Male,40,78,58
Female,40,85,48
Female,46,56,49
Female,50,30,53
Male,25,18,78
Female,21,50,76
Female,62,90,73
Female,48,85,15
Female,35,67,65
Female,39,70,1
Male,33,56,1
Female,41,47,79
Female,25,41,12
Female,50,21,45
Female,41,107,86
Male,41,65,65
Male,26,48,59
Female,46,108,48
Female,26,113,53
Male,29,132,34
Female,40,54,37
Female,70,63,52
Female,41,77,56
Male,18,104,46
Female,29,62,1
Female,48,34,90
Female,23,40,74
Female,50,91,44
Female,41,76,75
Female,52,56,40
Male,31,54,58
Male,29,56,1
Female,46,93,56
Female,38,39,42
Female,37,28,55
Male,60,108,94
Female,47,61,49
Male,18,58,38
Female,50,78,38
Female,48,34,13
Female,55,80,60
Female,25,50,64
Female,43,90,51
Female,40,20,73
Female,25,72,74
Female,52,54,52
Male,35,42,65
Female,54,80,100
Male,28,56,28
Male,18,72,70
Male,35,93,52
Male,42,81,77
Male,31,32,29
Male,18,46,55
Male,44,72,32
Male,44,81,4
Male,48,50,86
Female,33,65,38
Female,32,65,28
Male,58,69,35
Female,18,29,97
Male,35,23,84
Male,40,15,44
Female,47,63,72
Male,41,24,22
Female,25,116,63
Female,55,77,39
Female,38,29,61
Male,18,90,14
Female,41,90,34
Female,45,92,54
Female,66,39,54
Male,44,79,12
Female,18,93,25
Female,18,101,61
Female,56,20,58
Male,27,54,67
Female,18,38,55
Male,52,109,23
Female,32,73,41
Female,52,83,63
Male,26,73,24
Female,59,70,21
Female,51,37,42
Female,28,48,57
Female,18,62,2
Male,70,43,43
Male,35,38,63
Female,28,55,68
Male,58,44,24
Male,52,61,59
Female,55,48,75
Female,37,42,65
Male,65,36,39
Male,20,60,1
Male,31,83,55
Male,44,77,90
Female,55,20,71
Female,48,83,69
Female,37,77,54
Female,32,83,73
Female,55,89,58
Male,49,41,5
Female,26,52,73
Female,26,107,27
Female,31,106,51
Male,29,58,69
Female,53,76,30
Female,44,78,24
Female,46,106,62
Female,41,69,21
Male,42,28,45
Female,18,48,79
Female,49,142,92
Female,30,27,4
Female,38,61,44
Female,32,121,82
Male,40,39,39
Female,46,15,70
Female,24,15,72
Female,42,39,34
Female,32,15,61
Female,57,87,62
Male,23,67,73
Female,24,15,8
Male,33,18,83
Male,25,93,67
Female,35,65,21
Male,31,98,46
Male,40,89,71
Male,52,30,22
Male,39,83,26
Male,41,75,50
Male,24,15,38
Male,36,24,56
Male,32,124,71
Female,48,36,57
Female,28,71,49
Female,26,55,71
Male,43,65,47
Male,66,57,30
Male,36,85,80
Female,41,85,1
Male,52,63,51
Male,45,36,40
Male,46,45,26
Female,37,19,57
Male,37,51,62
Male,28,15,28
Male,45,66,14
Female,45,68,16
Male,48,86,97
Female,32,28,99
Female,50,30,50
Female,54,100,14
Male,21,24,46
Male,34,114,1
Male,55,36,58
Female,29,36,24
Female,46,82,18
Female,38,74,75
Female,43,103,46
Female,39,15,72
Male,49,74,81
Male,24,59,47
Female,26,32,50
Female,59,109,77
Female,68,66,36
Female,38,58,80
Male,62,72,1
Female,28,15,41
Male,31,27,55
Female,59,51,19
Male,50,68,59
Male,61,94,54
Male,45,37,31
Female,24,31,30
Male,41,73,27
Female,55,56,9
Female,36,15,91
Female,34,36,44
Male,45,55,15
Male,31,56,47
Female,42,62,56
Female,39,26,29
Female,31,57,40
Female,52,85,83
Female,47,15,20
Female,33,53,35
Female,38,16,1
Male,35,59,97
Female,29,21,67
Male,18,64,48
Female,32,103,31
Female,30,34,30
Female,40,38,43
Female,45,48,63
Male,27,68,22
Female,44,33,38
Male,25,50,72
Female,37,42,91
Female,30,48,64
Male,49,69,33
Female,40,75,46
Male,37,21,60
Female,30,69,42
Female,34,143,68
Female,64,101,31
Female,31,43,91
Female,45,64,47
Female,37,59,33
Male,45,72,65
Female,50,49,24
Female,33,53,54
Male,48,41,86
Male,70,89,18
Female,46,68,80
Female,61,68,16
Female,45,92,71
Female,25,92,25
Male,42,87,80
Male,34,92,35
Male,30,101,40
Female,37,35,25
Male,36,52,1
Female,24,79,20
Female,70,37,6
Male,50,51,1
Female,42,65,57
Male,40,54,89
Male,55,62,96
Male,67,30,20
Female,48,59,47
Male,40,64,80
Female,59,102,16
Male,40,53,81
Female,44,43,81
Female,52,79,1
Female,33,15,1
Female,18,52,39
Female,32,47,74
Male,49,67,10
Female,48,93,1
Female,57,101,51
Female,33,67,66
Female,60,19,32
Male,41,47,34
Female,47,49,66
Female,51,70,27
Female,19,62,29
Male,24,42,57
Female,24,27,60
Female,53,37,44
Male,34,36,88
Male,67,103,69
Female,38,40,41
Female,18,62,16
Female,29,85,75
Male,40,65,76
Female,46,32,47
Male,25,86,57
Male,46,69,68
Female,50,15,91
Female,29,93,73
Female,66,83,61
Female,31,69,74
Male,24,103,79
Female,18,82,57
Female,55,90,73
Female,39,87,32
Male,32,80,76
Male,18,15,32
Female,33,16,24
Female,70,82,46
Male,18,92,15
Female,30,42,34
Female,63,31,59
Male,56,67,57
Female,30,22,66
Male,41,56,67
Female,45,51,59
Female,40,54,28
Male,63,110,74
Female,43,43,47
Male,54,61,56
Female,41,26,52
Female,18,85,90
Male,22,55,19
Female,25,91,41
Female,35,15,63
Male,67,59,50
Male,43,64,37
Female,37,84,1
Male,56,43,42
Female,18,81,59
Female,32,46,64
Female,29,63,45
Male,44,84,54
Male,51,36,20
Female,45,80,60
Female,45,69,50
Male,33,51,54
Male,43,43,44
Female,27,15,55
Female,48,58,66
Female,31,51,56
Male,23,77,3
Female,39,74,57
Male,18,88,40
Female,59,89,31
Female,49,143,85
Male,43,74,26
Female,18,37,29
Male,29,82,1
Male,39,102,87
Female,35,73,73
Female,18,15,41
Male,20,75,66
Female,34,44,1
Male,20,25,62
Male,58,65,28
Female,45,20,93
Female,27,87,59
Female,55,79,53
Female,52,58,29
Female,42,46,29
Male,38,55,65
Male,34,34,28
Female,31,58,27
Female,20,15,86
Female,60,62,57
Female,31,63,21
Female,39,82,64
Male,26,68,42
Female,35,86,4
Female,70,74,37
Female,28,87,23
Female,59,129,56
Male,38,71,33
Male,48,65,52
Female,56,91,67
Female,42,48,100
Female,33,57,100
Female,36,71,55
Male,36,62,48
Male,64,62,34
Female,18,84,7
Male,18,16,1
Male,18,113,28
Male,26,73,92
Female,48,50,91
Female,49,103,52
Male,30,63,62
Female,38,63,34
Female,23,54,49
Male,24,99,30
Male,46,60,30
Male,53,45,66
Male,32,86,34
Female,61,91,62
Female,52,102,46
Male,61,77,86
Male,34,90,64
Male,60,53,56
Male,69,87,13
Male,33,80,37
Male,36,74,48
Female,25,19,51
Male,22,50,67
Female,23,59,55
Female,27,74,23
Female,42,123,65
Female,28,83,38
Male,42,39,33
Female,42,47,21
Female,32,97,41
Female,37,46,35
Female,31,87,80
Female,34,63,43
Male,27,56,63
Male,40,47,3
Male,30,15,69
Female,22,74,66
Male,47,32,12
Male,47,23,27
Male,54,67,33
Female,24,87,44
Female,32,15,31
Female,42,86,43
Female,31,36,67
Female,46,77,35
Male,45,75,57
Female,45,55,54
Female,59,61,1
Female,47,50,29
Female,40,67,75
Male,36,67,27
Female,37,36,22
Female,23,24,76
Female,18,87,54
Female,45,65,87
Female,55,83,38
Female,34,42,81
Female,61,38,27
Female,36,33,1
Female,18,55,67
Male,51,66,65
Female,32,46,67
Female,52,101,44
Female,21,43,88
Male,44,67,72
Male,27,37,71
Female,41,42,53
Female,49,58,15
Female,46,38,51
Female,39,62,59
Female,19,72,100
Male,49,89,57
Female,53,32,23
Female,24,64,62
Female,26,58,82
Female,53,15,94
Female,35,30,47
Female,26,73,45
Male,42,25,13
Male,29,58,34
Male,41,15,61
Female,33,57,10
Male,34,15,100
Male,54,44,40
Female,18,49,53
Female,46,63,59
Female,52,53,79
Male,30,28,57
Male,51,28,22
Female,25,18,61
Female,29,65,79
Female,28,64,27
Male,52,78,70
Male,18,47,56
Male,61,15,52
Female,34,52,33
Female,47,60,44
Male,46,29,61
Female,40,32,39
Female,30,72,24
Male,56,63,23
Male,31,90,57
Male,28,105,62
Female,51,21,48
Male,40,49,97
Male,57,63,6
Female,37,70,60
Male,29,87,2
Male,42,79,47
Female,32,90,56
Male,30,62,45
Female,50,44,1
Female,64,111,47
Male,35,64,50
Female,25,54,73
Male,36,32,13
Male,46,64,87
Female,42,86,1
Male,55,47,16
Male,48,57,54
Male,23,67,58
Male,31,72,89
Male,19,53,55
Male,54,50,47
Female,18,47,61
Female,20,31,1
Male,31,40,24
Female,46,39,19
Male,31,20,74
Female,33,86,83
Female,34,70,98
Female,41,64,64
Male,21,94,73
Female,25,79,52
Female,62,39,37
Female,44,91,22
Female,49,86,20
Male,39,31,14
Male,36,84,69
Male,45,48,39
Female,49,86,31
Female,50,51,1
Female,37,46,26
Male,52,49,42
Female,18,35,10
Female,51,21,100
Female,32,15,15
Female,46,32,79
Female,29,129,47
Female,20,73,35
Female,43,109,43
Female,18,52,50
Female,33,48,56
Male,27,105,24
Female,36,70,64
Female,49,35,42
Male,32,77,15
Male,43,93,39
Male,49,23,86
Female,30,72,55
Male,30,24,50
Female,57,91,39
Male,37,66,41
Female,45,77,55
Female,45,54,43
Male,22,15,61
Female,28,48,58
Female,44,84,19
Female,18,112,63
Male,35,67,25
Female,26,42,24
Male,54,74,49
Male,43,82,56
Male,55,64,66
Female,38,62,1
Female,37,66,70
Male,34,61,60
Male,31,68,31
Male,70,108,44
Female,50,15,55
Female,23,54,1
Female,70,36,17
Female,33,91,80
Male,43,56,34
Male,51,75,47
Male,18,98,47
Female,27,32,68
Male,61,46,39
Female,35,95,41
Male,52,31,55
Female,32,47,72
Female,37,18,80
Female,63,96,41
Female,44,45,37
Male,34,69,46
Female,29,78,84
Female,30,39,70
Female,56,15,37
Male,49,54,8
Male,22,54,78
Male,40,58,81
Male,37,59,21
Male,43,47,38
Female,30,46,72
Male,54,68,60
Male,38,38,1
Male,44,58,21
Female,27,45,65
Female,28,68,56
Male,70,89,67
Female,63,90,70
Female,37,94,56
Male,60,51,61
Female,55,53,35
Female,30,27,53
Female,28,51,58
Female,48,52,94
Female,42,44,28
Male,33,44,68
Male,48,15,47
Male,18,25,69
Female,40,61,47
Male,21,62,80
Female,22,73,31
Male,28,53,53
Female,43,60,61
Male,29,93,32
Female,21,59,58
Male,45,43,76
Female,59,29,48
Female,47,81,69
Female,64,15,32
Male,58,38,21
Female,32,71,68
Female,47,15,35
Female,37,44,6
Female,53,63,30
Female,37,50,84
Male,27,34,77
Male,58,44,21
Male,43,82,12
Male,29,108,39
Female,31,64,77
Female,29,15,45
Female,24,75,45
Female,32,50,34
Male,44,31,43
Female,39,39,72
Male,32,40,52
Male,59,23,44
Male,18,58,67
Male,43,108,52
Female,36,31,74
Female,25,107,32
Female,43,66,57
Male,35,58,73
Male,56,52,90
Female,50,39,21
Female,65,68,45
Male,32,74,16
Male,58,15,25
Male,22,127,50
Male,37,15,1
Female,32,46,61
Male,47,15,64
Male,46,53,48
Female,26,48,28
Female,48,47,43
Male,33,68,100
Male,27,54,36
Female,38,74,29
Male,18,28,1
Female,51,62,77
Female,38,43,18
Male,38,50,52
Female,37,67,100
Female,61,47,59
Male,60,57,59
Male,57,30,41
Female,37,89,58
Female,23,79,52
Female,38,63,64
Male,43,54,1
Male,50,57,60
Male,43,88,61
Female,24,77,100
Female,31,89,50
Female,30,51,55
Female,46,73,60
Female,46,91,61
Female,48,36,18
Female,43,34,71
Female,18,67,26
Female,18,28,60
Female,36,15,28
Male,40,91,44
Male,56,95,38
Female,39,29,43
Female,25,22,48
Female,48,43,59
Male,38,93,47
Male,33,49,72
Female,18,63,36
Male,40,69,61
Female,42,65,28
Female,24,99,96
Male,49,41,61
Male,47,57,32
Male,39,66,94
Female,39,59,63
Female,52,28,32
Female,43,21,46
Female,29,21,20
Female,36,79,20
Male,46,39,81
Male,18,72,26
Male,25,62,15
Female,48,34,66
Female,55,35,93
Male,53,64,80
Female,51,62,100
Male,40,73,100
Female,24,48,26
Male,36,38,42
Female,18,63,9
Male,57,97,20
Female,27,15,77
Male,31,39,57
Female,53,76,87
Female,18,66,27
Female,22,76,36
Female,42,49,65
Female,46,18,77
Female,37,104,7
Female,38,89,43
Male,56,59,60
Male,47,38,70
Male,45,47,75
Female,49,66,48
Male,34,53,18
Male,69,60,1
Male,18,102,45
Female,59,84,42
Female,51,29,29
Female,42,62,73
Male,39,46,20
Female,36,68,33
Male,54,58,80
Male,38,138,30
Female,28,71,58
Female,51,57,49
Female,60,108,56
Female,18,65,72
Female,70,20,58
Female,24,57,14
Female,25,76,18
Male,21,73,57
Male,38,86,26
Male,20,64,74
Female,22,62,58
Male,29,23,5
Female,40,100,98
Male,42,52,40
Male,56,34,44
Male,55,129,61
Female,53,104,47
Male,35,48,75
Female,18,15,23
Female,18,41,79
Female,53,102,67
Male,50,65,30
Female,30,25,56
Male,18,81,81
Male,24,55,63
Female,41,43,54
Female,41,45,66
Female,53,94,68
Male,32,74,37
Male,35,21,54
Male,54,70,72
Female,18,63,53
Male,43,49,31
Male,34,50,57
Male,48,37,40
Male,46,43,65
Male,29,68,87
Male,31,53,67
Female,18,74,28
Male,49,39,57
Female,42,79,1
Male,58,95,47
Male,33,60,74
Female,51,74,60
Female,23,75,53
Female,18,47,100
Female,37,75,6
Female,30,15,11
Female,24,15,62
Male,51,51,73
Male,55,77,74
Male,40,58,35
Female,36,80,28
Female,39,28,24
Female,29,83,58
Female,46,103,24
Female,18,42,78
Male,23,80,49
Female,27,61,32
Female,46,72,32
Female,34,103,10
Male,57,69,29
Male,50,80,35
Female,27,27,60
Female,47,79,47
Male,33,102,27
Male,45,36,18
Female,50,52,44
Male,54,78,1
Female,41,72,41
Male,61,24,79
Male,45,64,45
Male,40,51,54
Male,34,35,51
Female,30,96,14
Female,44,60,95
Male,40,86,39
Male,42,29,50
Male,45,76,33
Male,42,88,79
Female,66,54,12
Female,31,47,83
Female,44,26,42
Male,35,37,36
Female,18,48,33
Male,36,34,96
Male,25,40,8
Female,37,64,36
Male,38,67,16
Female,44,89,3
Female,31,40,83
Female,33,61,49
Female,48,49,20
Female,27,47,71
Male,18,52,39
Female,41,55,33
Male,53,67,65
Female,48,51,39
Male,41,92,25
Female,56,15,68
Male,53,88,46
Male,34,50,69
Female,42,55,39
Male,42,60,76
Male,37,79,50
Male,54,37,77
Female,36,43,76
Female,31,73,82
Female,18,15,51
Female,27,59,60
Male,20,39,44
Male,38,34,27
Female,21,17,100
Female,47,80,30
Female,54,64,73
Female,38,42,68
Female,25,56,54
Female,42,31,46
Female,65,46,46
Male,60,55,33
Female,19,62,52
Male,18,70,19
Male,18,15,69
Male,22,70,44
Male,42,15,25
Male,31,71,17
Male,27,54,46
Male,53,89,47
Female,46,42,36
Male,18,81,63
Male,52,29,59
Female,45,63,51
Female,46,15,26
Female,30,83,31
Female,36,105,14
Female,18,42,45
Male,50,63,64
Female,24,72,18
Male,26,19,35
Female,26,40,48
Female,63,39,64
Male,29,123,12
Female,52,88,100
Male,38,54,69
Female,27,81,34
Female,24,66,22
Female,30,76,57
Male,37,32,62
Female,47,96,24
Male,32,40,21
Male,31,41,27
Male,26,76,51
Female,22,69,52
Female,21,61,100
Male,52,82,1
Female,31,30,32
Female,32,109,36
Female,29,47,62
Male,34,58,63
Female,44,109,45
Male,32,41,89
Female,41,87,21
Male,58,54,32
Female,27,38,16
Male,32,50,46
Female,47,75,41
Female,59,87,70
Female,21,66,98
Female,18,18,88
Male,38,77,18
Male,37,56,51
Female,48,31,70
Male,46,69,67
Male,38,90,100
Female,53,60,44
Female,29,84,52
Male,41,72,100
Female,21,73,61
Male,38,52,34
Female,18,82,25
Female,23,84,55
Male,62,81,77
Male,18,52,77
Female,35,86,27
Male,50,70,52
Male,69,35,38
Female,41,50,46
Female,42,46,73
Female,39,15,48
Male,53,86,67
Male,44,142,67
Female,30,92,34
Female,54,64,81
Male,32,47,21
Female,18,36,17
Female,18,64,37
Female,36,85,25
Male,40,42,65
Male,52,127,100
Male,47,24,79
Male,39,66,29
Female,52,62,24
Female,39,60,75
Male,20,45,19
Male,18,62,24
Female,56,48,59
Female,18,94,36
Female,36,103,53
Male,70,50,41
Female,45,17,49
Female,35,68,72
Male,18,67,66
Female,61,63,73
Male,55,74,66
Female,48,96,68
Male,38,82,50
Male,46,74,12
Female,36,80,47
Male,25,67,58
Male,52,35,52
Female,38,98,61
Female,46,63,100
Female,37,35,37
Male,45,30,39
Female,38,36,81
Female,37,28,53
Male,39,78,61
Female,70,55,34
Female,50,80,31
Male,70,91,19
Female,38,84,54
Female,34,77,24
Male,23,68,21
Male,61,55,67
Male,26,57,33
Male,64,75,19
Female,24,35,16
Female,51,59,73
Male,18,41,47
Male,32,91,39
Male,39,79,54
Female,30,116,52
Male,36,40,36
Female,36,43,41
Female,50,62,69
Male,18,41,71
Male,30,74,28
Female,56,59,83
Male,46,47,100
Female,56,89,42
Female,49,15,42
Female,23,74,27
Female,48,46,32
Male,40,82,58
Male,70,88,100
Female,50,15,69
Male,46,55,41
Female,48,62,39
Female,45,15,33
Female,45,66,77
Female,35,46,43
Male,46,28,61
Female,52,43,44
Male,53,38,100
Male,51,45,36
Female,59,65,32
Male,54,86,37
Female,47,58,61
Female,22,89,87
Male,22,33,61
Female,35,64,68
Female,39,115,64
Female,58,18,7
Female,18,17,49
Male,24,94,42
Female,36,66,46
Male,24,44,28
Female,27,30,72
Female,31,59,51
Female,25,64,51
Female,28,64,46
Female,57,30,33
Female,47,51,4
Male,49,45,57
Male,38,77,53
Female,52,32,63
Female,50,62,52
Male,47,129,22
Male,29,30,29
Female,32,40,84
Female,53,58,58
Female,31,15,70
Female,20,23,73
Female,31,68,24
Female,60,55,41
Male,31,88,67
Female,43,54,29
Female,30,51,39
Female,49,42,36
Female,46,51,31
Female,18,28,46
Female,42,56,37
Female,18,35,39
Male,31,28,57
Female,38,43,75
Female,64,72,69
Female,43,64,54
Female,28,78,92
Female,34,36,67
Female,51,60,70
Female,28,105,45
Male,54,97,40
Female,31,27,59
Male,26,34,73
Male,31,105,54
Female,18,72,33
Male,18,55,17
Female,37,52,9
Female,37,66,51
Female,42,66,71
Male,37,46,1
Male,70,56,34
Male,41,45,30
Female,19,64,59
Female,23,41,32
Male,38,27,18
Female,32,99,34
Female,21,58,30
Female,38,105,50
Female,38,15,44
Male,61,22,61
Male,26,72,50
Male,33,58,76
Male,61,30,38
Male,43,90,66
Female,25,37,58
Male,28,92,42
Female,21,58,67
Female,39,32,29
Male,53,42,82
Female,61,96,30
Female,18,52,15
Male,50,86,13
Male,41,97,52
Female,35,58,35
Male,33,54,54
Female,18,49,21
Male,47,69,62
Female,20,100,54
Male,28,28,38
Female,44,66,66
Female,18,65,65
Male,20,15,52
Male,55,37,73
Female,40,42,78
Female,29,80,29
Male,40,85,79
Male,48,15,26
Female,54,77,70
Female,23,73,74
Female,24,75,45
Female,47,64,48
Male,47,85,42
Male,20,91,28
Female,25,17,33
Male,36,59,63
Female,39,53,72
Female,39,45,49
Female,19,48,24
Male,39,65,20
Male,28,26,47
Female,22,78,36
Male,38,50,80
Female,37,83,32
Female,50,44,65
Male,26,42,34
Female,42,35,42
Male,18,44,54
Male,35,39,63
Male,45,71,61
Male,46,88,35
Female,46,70,52
Male,50,58,40
Female,32,73,13
Female,45,59,56
Female,64,61,82
Female,32,52,90
Female,58,82,58
Female,51,15,56
Male,35,15,1
Female,36,87,100
Female,40,55,87
Male,50,84,69
Male,44,44,52
Male,32,104,1
Female,18,56,54
Female,48,72,51
Female,18,48,13
Female,19,36,61
Male,33,15,82
Male,21,81,58
Male,43,70,58
Female,34,63,60
Male,49,30,41
Male,18,97,69
Male,29,63,89
Female,38,79,51
Male,39,60,30
Male,48,31,14
Male,26,86,63
Male,32,72,66
Female,45,55,59
Male,18,71,44
Female,44,82,57
Female,49,77,36
Female,20,15,31
Female,34,21,24
Male,59,79,24
Female,48,42,63
Female,45,33,43
Female,52,70,32
Female,64,32,15
Female,39,47,67
Male,33,82,77
Female,52,20,23
Female,36,24,46
Female,25,18,26
Male,31,37,46
Female,43,62,65
Male,32,44,91
Female,33,100,38
Female,24,72,68
Female,58,60,68
Female,34,93,46
Male,28,25,80
Male,30,83,41
Male,50,54,61
Female,46,48,35
Male,31,76,63
Male,39,49,61
Female,42,65,80
Female,29,57,97
Female,18,68,73
Female,46,47,67
Female,29,84,40
Male,45,15,1
Male,43,77,83
Female,39,15,98
Female,32,40,58
Male,29,74,24
Female,22,15,85
Male,30,64,78
Female,46,24,1
Female,58,35,53
Female,56,33,56
Male,40,25,8
Male,58,15,22
Female,34,114,78
Female,20,55,52
Male,65,28,25
Female,46,45,32
Female,18,61,19
Male,60,50,52
Male,28,27,69
Female,31,36,80
Female,53,91,32
Female,57,23,41
Male,24,15,63
Female,59,50,74
Male,51,15,59
Male,27,36,82
Female,35,27,97
Female,60,27,8
Male,18,62,89
Female,58,67,83
Male,50,39,19
Male,45,58,62
Male,40,38,66
Female,66,71,22
Female,68,21,48
Male,30,64,54
Female,47,66,22
Female,65,121,41
Female,27,15,86
Female,42,130,93
Female,52,80,21
Female,18,108,1
Male,50,84,82
Female,23,35,97
Female,41,77,72
Female,54,43,42
Female,18,58,22
Female,49,29,66
Female,67,42,77
Female,31,84,33
Male,46,72,57
Female,57,87,38
Female,18,23,69
Female,49,15,1
Female,53,89,60
Female,47,87,40
Female,40,66,97
Male,24,71,58
Male,58,83,68
Male,39,65,25
Female,26,74,44
Male,34,81,60
Male,43,58,40
Female,18,51,43
Male,39,70,56
Male,33,120,5
Female,57,38,36
Female,18,49,70
Female,51,15,40
Male,58,71,100
Male,18,46,52
Female,18,23,2
Female,63,58,61
Female,26,99,22
Female,70,51,58
Male,18,53,35
Male,41,98,37
Female,38,60,76
Female,35,28,9
Female,45,78,37
Female,46,90,34
Female,36,55,84
Male,24,63,41
Female,53,26,25
Female,47,37,56
Female,40,51,27
Male,47,62,30
Male,49,44,68
Female,28,50,1
Female,46,57,25
Male,31,34,32
Male,50,53,90
Male,36,90,61
Male,47,44,49
Female,32,36,47
Male,48,115,53
Male,25,66,56
Male,39,40,53
Female,52,77,100
Male,45,67,38
Female,41,45,54
Female,64,59,51
Male,53,52,74
Female,50,86,32
Female,48,78,40
Female,49,15,11
Female,61,110,75
Female,33,52,10
Female,52,105,64
Female,43,79,93
Male,33,67,99
Female,37,58,42
Male,41,133,41
